Mineral Name,Mineral Name (plain),RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,Database ID,Country of Type Locality,IMA Status,Structural Groupname,Crystal Systems,Valence Elements,Image
Caryochroite,Caryochroite,"(Na,Sr)3(Fe3+,Mg)10Ti4+2Si12O37(H2O,O,OH)17","(Na,Sr)3(Fe3+,Mg)10Ti2Si12O37(H2O,O,OH)17",Na Sr Fe Mg Ti Si O H,IMA2005-031,5320,Russia,Approved, ,unknown|monoclinic,Na Sr Fe^3+ Mg Ti^4+ Si O H,
Caryopilite,Caryopilite,Mn2+3Si2O5(OH)4,Mn2+3Si2O5(OH)4,Mn Si O H,,1345,Sweden,Approved,Clay,monoclinic|unknown,Mn^2+ Si O H,
Cascandite,Cascandite,CaSc3+Si3O8(OH),CaScSi3O8(OH),Ca Sc Si O H,IMA1980-011,1346,Italy,Approved,Pectolite,triclinic,Ca Sc^3+ Si O H,
Caseyite,Caseyite,[(V5+O2)Al7.5(OH)15(H2O)13]2[H2V4+V5+9O28][V5+10O28]2·90H2O,[(V5+O2)Al7.5(OH)15(H2O)13]2[H2V4+V5+9O28][V5+10O28]2·90H2O,V O Al H,IMA2019-002,6893,USA,Approved, ,monoclinic,V^5+ O Al H V^4+,
Cassagnaite,Cassagnaite,Ca4Fe3+4V3+2(OH)6O2(Si3O10)(SiO4)2,Ca4Fe3+4V3+2(OH)6O2(Si3O10)(SiO4)2,Ca Fe V O H Si,IMA2006-019a,5595,Italy,Approved,Ardennite,orthorhombic,Ca Fe^3+ V^3+ O H Si,
Cassedanneite,Cassedanneite,Pb2+5(V5+O4)2(Cr6+O4)2·H2O,Pb5(VO4)2(CrO4)2·H2O,Pb V O Cr H,IMA1984-063,1347,Russia,Approved, ,monoclinic,Pb^2+ V^5+ O Cr^6+ H,
Cassidyite,Cassidyite,Ca2Ni2+(P5+O4)2·2H2O,Ca2Ni(PO4)2·2H2O,Ca Ni P O H,IMA1966-024,1348,Australia,Approved,Fairfieldite,triclinic,Ca Ni^2+ P^5+ O H,
Cassiterite,Cassiterite,SnO2,SnO2,Sn O,,1349,United Kingdom,Grandfathered|Approved,Rutile,tetragonal,Sn O,
Castellaroite,Castellaroite,Mn2+3(As5+O4)2·4.5H2O,Mn2+3(AsO4)2·4.5H2O,Mn As O H,IMA2015-071,6475,Italy,Approved, ,monoclinic,Mn^2+ As^5+ O H,
Caswellsilverite,Caswellsilverite,NaCr3+S2-2,NaCrS2,Na Cr S,IMA1981-012,1350,USA,Approved,Scacchite,hexagonal,Na Cr^3+ S^2-,
Catalanoite,Catalanoite,Na2HPO4·8H2O,Na2(HPO4)·8H2O,Na H P O,IMA2002-008,4977,Argentina,Approved, ,orthorhombic,Na H P O,
Catamarcaite,Catamarcaite,Cu6GeWS8,Cu6GeWS8,Cu Ge W S,IMA2003-020,5233,Argentina,Approved, ,hexagonal,Cu Ge W S,
Catapleiite,Catapleiite,Na2Zr4+Si3O9·2H2O,Na2Zr(Si3O9)·2H2O,Na Zr Si O H,,1351,Norway,Grandfathered|Approved,Catapleiite,monoclinic|orthorhombic,Na Zr^4+ Si O H,
Cattierite,Cattierite,Co2+(S2)2-,CoS2,Co S,,1352,Democratic Republic of the Congo,Grandfathered|Approved,Pyrite,cubic,Co^2+ S,
Cattiite,Cattiite,Mg3(PO4)2·22H2O,Mg3(PO4)2·22H2O,Mg P O H,IMA2000-032,1353,Russia,Approved, ,triclinic,Mg P O H,
Cavansite,Cavansite,CaV4+OSi4O10·4H2O,Ca(V4+O)(Si4O10)·4H2O,Ca V O Si H,IMA1967-019,1354,USA,Approved, ,orthorhombic,Ca V^4+ O Si H,
Cavoite,Cavoite,CaV4+3O7,CaV3O7,Ca V O,IMA2001-024,1355,Italy,Approved, ,orthorhombic,Ca V^4+ O,
Cayalsite-(Y),Cayalsite-(Y),CaY6Al2Si4O18F6,CaY6Al2Si4O18F6,Ca Y Al Si O F,IMA2011-094,6066,Norway,Approved, ,orthorhombic|monoclinic,Ca Y Al Si O F,
Caysichite-(Y),Caysichite-(Y),"(Ca,Yb,Er)4Y4Si8O20(CO3)6(OH)·7H2O","(Ca,Yb,Er)4Y4(Si8O20)(CO3)6(OH)·7H2O",Ca Yb Er Y Si O C H,"IMA1973-044, IMA1987 s.p.",1356,Canada,Approved|Renamed, ,orthorhombic,Ca Yb Er Y Si O C H,
Cebaite-(Ce),Cebaite-(Ce),Ba3Ce2(CO3)5F2,Ba3Ce2(CO3)5F2,Ba Ce C O F,IMA1987 s.p.,1357,China,Approved|Renamed, ,monoclinic,Ba Ce C O F,
Cebollite,Cebollite,Ca5Al2(SiO4)3(OH)4,Ca5Al2(SiO4)3(OH)4,Ca Al Si O H,,1358,USA,Questionable mineral species|Approved,Melilite,,Ca Al Si O H,
Čechite,Cechite,Pb2+Fe2+V5+O4(OH),PbFe2+(VO4)(OH),Pb Fe V O H,IMA1980-068,1359,Czech Republic,Approved,Descloizite,orthorhombic,Pb^2+ Fe^2+ V^5+ O H,
Čejkaite,Cejkaite,Na4U6+O2(CO3)3,Na4(UO2)(CO3)3,Na U O C,IMA1999-045,1360,Czech Republic,Approved, ,"monoclinic|triclinic, hexagonal",Na U^6+ O C,
Celadonite,Celadonite,KMgFe3+Si4O10(OH)2,KMgFe3+Si4O10(OH)2,K Mg Fe Si O H,,1361,Italy,Approved,Clay,monoclinic,K Mg Fe^3+ Si O H,
Celestine,Celestine,SrS6+O4,Sr(SO4),Sr S O,,1362,USA,Approved,Baryte,orthorhombic,Sr S^6+ O,
Celleriite,Celleriite,[box](Mn2+2Al)Al6(Si6O18)(BO3)3(OH)3(OH),[box](Mn2+2Al)Al6(Si6O18)(BO3)3(OH)3(OH),Mn Al Si O B H,IMA20219-089,6975,Italy,Pending publication|Approved,Tourmaline,hexagonal,Mn^2+ Al Si O B H,
Celsian,Celsian,BaAl2Si2O8,Ba(Al2Si2O8),Ba Al Si O,,1363,Sweden,Grandfathered|Approved,Feldspar,monoclinic,Ba Al Si O,
Centennialite,Centennialite,CaCu2+3Cl2(OH)6·nH2O  (n ~ 0.7),CaCu3Cl2(OH)6·nH2O (n ~ 0.7),Ca Cu Cl O H,IMA2013-110,6271,USA,Approved,Atacamite,hexagonal,Ca Cu^2+ Cl O H,
Cerchiaraite-(Al),Cerchiaraite-(Al),Ba4Al4(Si4O12)O2(OH)4Cl2[Si2O3(OH)4],Ba4Al4(Si4O12)O2(OH)4Cl2[Si2O3(OH)4],Ba Al Si O H Cl,IMA2012-011,6070,USA,Approved,Cerchiaraite,tetragonal,Ba Al Si O H Cl,
Cerchiaraite-(Fe),Cerchiaraite-(Fe),Ba4Fe3+4(Si4O12)O2(OH)4Cl2[Si2O3(OH)4],Ba4Fe3+4(Si4O12)O2(OH)4Cl2[Si2O3(OH)4],Ba Fe Si O H Cl,IMA2012-012,6071,Italy / USA,Approved,Cerchiaraite,tetragonal,Ba Fe^3+ Si O H Cl,
Cerchiaraite-(Mn),Cerchiaraite-(Mn),Ba4Mn3+4(Si4O12)O2(OH)4Cl2[Si2O3(OH)4],Ba4Mn3+4(Si4O12)O2(OH)4Cl2[Si2O3(OH)4],Ba Mn Si O H Cl,IMA1999-012,1364,Italy,Approved|Renamed,Cerchiaraite,tetragonal,Ba Mn^3+ Si O H Cl,
Cerianite-(Ce),Cerianite-(Ce),CeO2,CeO2,Ce O,IMA1987 s.p.,1365,Canada,Approved|Renamed,Fluorite,cubic,Ce O,
Cerite-(Ce),Cerite-(Ce),"(Ce,La,Ca)9(Mg,Fe3+)(SiO4)3(SiO3OH)4(OH)3","(Ce,La,Ca)9(Mg,Fe3+)(SiO4)3(SiO3OH)4(OH)3",Ce La Ca Mg Fe Si O H,IMA1987 s.p.,1367,Sweden,Approved|Renamed,Whitlockite,hexagonal,Ce La Ca Mg Fe^3+ Si O H,
Cerite-(La),Cerite-(La),"(La,Ce,Ca)9(Fe3+,Ca,Mg)(SiO4)3(SiO3OH)4(OH)3","(La,Ce,Ca)9(Fe3+,Ca,Mg)(SiO4)3(SiO3OH)4(OH)3",La Ce Ca Fe Mg Si O H,IMA2001-042,1368,Russia,Approved,Whitlockite,hexagonal,La Ce Ca Fe^3+ Mg Si O H,
Cerium,Cerium,Ce,Ce,Ce,,5420,Moon,Questionable mineral species|Approved, ,cubic|hexagonal,Ce,
Černýite,Cernyite,Cu1+2Cd2+Sn4+S2-4,Cu2CdSnS4,Cu Cd Sn S,IMA1976-057,1369,Canada,Approved,Stannite,tetragonal,Cu^1+ Cd^2+ Sn^4+ S^2-,
Cerromojonite,Cerromojonite,Cu1+Pb2+Bi3+Se2-3,CuPbBiSe3,Cu Pb Bi Se,IMA2018-040,6781,Bolivia,Approved,Bournonite,orthorhombic,Cu^1+ Pb^2+ Bi^3+ Se^2-,
Ceruleite,Ceruleite,Cu2+Al4(As5+O4)2(OH)8(H2O)4,CuAl4(AsO4)2(OH)8(H2O)4,Cu Al As O H,IMA2007 s.p.,1371,Chile,Approved|Renamed, ,triclinic,Cu^2+ Al As^5+ O H,
Cerussite,Cerussite,Pb2+CO3,Pb(CO3),Pb C O,,1372,Italy,Grandfathered|Approved,Aragonite,orthorhombic,Pb^2+ C O,
Cervandonite-(Ce),Cervandonite-(Ce),"(Ce3+,Nd3+,La3+)(Fe3+,Ti4+,Fe2+,Al)3O2(Si2O7)0.8(As3+O3)1.2(OH)0.6","(Ce,Nd,La)(Fe3+,Ti,Fe2+,Al)3O2(Si2O7)1-x+y(AsO3)1+x-y(OH)3x-3y",Ce Nd La Fe Ti Al O Si As H,IMA1986-044,1373,Italy / Switzerland,Approved, ,hexagonal,Ce^3+ Nd^3+ La^3+ Fe^3+ Ti^4+ Fe^2+ Al O Si As^3+ H,
Cervantite,Cervantite,Sb3+Sb5+O4,Sb3+Sb5+O4,Sb O,,1374,Spain,Approved|Redefined, ,orthorhombic,Sb^3+ Sb^5+ O,
Cervelleite,Cervelleite,Ag4TeS,Ag4TeS,Ag Te S,IMA1986-018,1375,Mexico,Approved, ,cubic,Ag Te S,
Cesanite,Cesanite,Ca2Na3(S6+O4)3OH,Ca2Na3(SO4)3OH,Ca Na S O H,IMA1980-023,1376,Italy,Approved,Apatite,hexagonal,Ca Na S^6+ O H,
Césarferreiraite,Cesarferreiraite,Fe2+Fe3+2(As5+O4)2(OH)2·8H2O,Fe2+Fe3+2(AsO4)2(OH)2·8H2O,Fe As O H,IMA2012-099,6162,Brazil,Approved,Laueite,triclinic,Fe^2+ Fe^3+ As^5+ O H,
Cesàrolite,Cesarolite,Pb2+Mn4+3O6(OH)2,PbMn4+3O6(OH)2,Pb Mn O H,,1377,Tunisia,Grandfathered|Approved, ,,Pb^2+ Mn^4+ O H,
Cesbronite,Cesbronite,Cu2+3Te6+O4(OH)4,Cu3Te6+O4(OH)4,Cu Te O H,IMA1974-006,1378,Mexico,Approved|Redefined, ,orthorhombic,Cu^2+ Te^6+ O H,
Cesiodymite,Cesiodymite,Cs1+KCu2+5O(S6+O4)5,CsKCu5O(SO4)5,Cs K Cu O S,IMA2016-002,6531,Russia,Approved,Cryptochalcite,triclinic,Cs^1+ K Cu^2+ O S^6+,
Cesiokenopyrochlore,Cesiokenopyrochlore,"[box]Nb5+2(O,OH)6Cs1-x","[box]Nb2(O,OH)6Cs1-x",Nb O H Cs,IMA2016-104,6631,Madagascar,Pending publication|Approved,Pyrochlore-Pyrochlore,cubic,Nb^5+ O H Cs,
Cesplumtantite,Cesplumtantite,Cs2Pb2+3Ta5+8O24,Cs2Pb3Ta8O24,Cs Pb Ta O,IMA1985-040,1381,Democratic Republic of the Congo,Approved, ,tetragonal,Cs Pb^2+ Ta^5+ O,
Cetineite,Cetineite,NaK5Sb3+14S2-6O18·6H2O,NaK5Sb14S6O18(H2O)6,Na K Sb S O H,IMA1986-019,1383,Italy,Approved,Cetineite,hexagonal,Na K Sb^3+ S^2- O H,
Chabazite-Ca,Chabazite-Ca,Ca2Al4Si8O24·13H2O,Ca2[Al4Si8O24]·13H2O,Ca Al Si O H,,1384,Italy,Approved, ,"hexagonal|rhombohedral, triclinic",Ca Al Si O H,
Chabazite-K,Chabazite-K,(K2NaCa0.5)Al4Si8O24·11H2O,(K2NaCa0.5)[Al4Si8O24]·11H2O,K Na Ca Al Si O H,,1385,Italy,Approved, ,hexagonal|rhombohedral,K Na Ca Al Si O H,
Chabazite-Mg,Chabazite-Mg,(Mg0.7K0.5Ca0.5Na0.1)Al3Si9O24·10H2O,(Mg0.7K0.5Ca0.5Na0.1)[Al3Si9O24]·10H2O,Mg K Ca Na Al Si O H,IMA2009-060,5789,Hungary,Approved, ,hexagonal,Mg K Ca Na Al Si O H,
Chabazite-Na,Chabazite-Na,(Na3K)Al4Si8O24·11H2O,(Na3K)[Al4Si8O24]·11H2O,Na K Al Si O H,,1386,Italy,Approved, ,"hexagonal|rhombohedral, triclinic",Na K Al Si O H,
Chabazite-Sr,Chabazite-Sr,"(Sr,Ca)2Al4Si8O24·11H2O","(Sr,Ca)2[Al4Si8O24]·11H2O",Sr Ca Al Si O H,IMA1999-040,1387,Russia,Approved, ,hexagonal,Sr Ca Al Si O H,
Chabournéite,Chabourneite,"Tl1+4Pb2+2(Sb3+,As3+)20S2-34","Tl4Pb2(Sb,As)20S34",Tl Pb Sb As S,IMA1976-042,1388,France,Approved,Chabournéite,triclinic,Tl^1+ Pb^2+ Sb^3+ As^3+ S^2-,
Chadwickite,Chadwickite,U6+O2HAs3+O3,(UO2)(HAsO3),U O H As,IMA1997-005,1389,Germany,Approved, ,tetragonal,U^6+ O H As^3+,
Chaidamuite,Chaidamuite,Zn2+Fe3+(S6+O4)2(OH)·4H2O,ZnFe3+(SO4)2(OH)·4H2O,Zn Fe S O H,IMA1985-011,1390,China,Approved, ,triclinic|monoclinic,Zn^2+ Fe^3+ S^6+ O H,
Chalcanthite,Chalcanthite,Cu2+S6+O4·5H2O,Cu(SO4)·5H2O,Cu S O H,,1391,unknown,Grandfathered|Approved,Chalcanthite,triclinic,Cu^2+ S^6+ O H,
Chalcoalumite,Chalcoalumite,Cu2+Al4S6+O4(OH)12·3H2O,CuAl4(SO4)(OH)12·3H2O,Cu Al S O H,,1392,USA,Grandfathered|Approved,Chalcoalumite,monoclinic,Cu^2+ Al S^6+ O H,
Chalcocite,Chalcocite,Cu1+2S2-,Cu2S,Cu S,,1393,?,Grandfathered|Approved, ,monoclinic|cubic,Cu^1+ S^2-,
Chalcocyanite,Chalcocyanite,Cu2+S6+O4,Cu(SO4),Cu S O,,1394,Italy,Grandfathered|Approved,Zinkosite,orthorhombic,Cu^2+ S^6+ O,
Chalcomenite,Chalcomenite,Cu2+Se4+O3·2H2O,Cu(Se4+O3)·2H2O,Cu Se O H,,1395,Argentina,Grandfathered|Approved, ,orthorhombic,Cu^2+ Se^4+ O H,
Chalconatronite,Chalconatronite,Na2Cu2+(CO3)2·3H2O,Na2Cu(CO3)2·3H2O,Na Cu C O H,,1396,Egypt,Grandfathered|Approved, ,monoclinic,Na Cu^2+ C O H,
Chalcophanite,Chalcophanite,Zn2+Mn4+3O7·3H2O,ZnMn4+3O7·3H2O,Zn Mn O H,,1397,USA,Grandfathered|Approved, ,hexagonal,Zn^2+ Mn^4+ O H,
Chalcophyllite,Chalcophyllite,Cu2+18Al2(As5+O4)4(S6+O4)3(OH)24·36H2O,Cu18Al2(AsO4)4(SO4)3(OH)24·36H2O,Cu Al As O S H,,1398,United Kingdom,Grandfathered|Approved,Chalcophyllite,hexagonal,Cu^2+ Al As^5+ O S^6+ H,
Chalcopyrite,Chalcopyrite,Cu1+Fe3+S2-2,CuFeS2,Cu Fe S,,1399,?,Grandfathered|Approved,Chalcopyrite,tetragonal|cubic,Cu^1+ Fe^3+ S^2-,
Chalcosiderite,Chalcosiderite,Cu2+Fe3+6(PO4)4(OH)8·4H2O,CuFe3+6(PO4)4(OH)8·4H2O,Cu Fe P O H,,1400,United Kingdom,Grandfathered|Approved,Turquoise,triclinic,Cu^2+ Fe^3+ P O H,
Chalcostibite,Chalcostibite,Cu1+Sb3+S2-2,CuSbS2,Cu Sb S,,1401,Germany,Grandfathered|Approved,Chalcostibite,orthorhombic,Cu^1+ Sb^3+ S^2-,
Chalcothallite,Chalcothallite,"(Cu,Fe,Ag)6.3(Tl,K)2SbS4","(Cu,Fe,Ag)6.3(Tl,K)2SbS4",Cu Fe Ag Tl K Sb S,IMA1966-008,1402,Denmark (Greenland),Approved, ,tetragonal,Cu Fe Ag Tl K Sb S,
Challacolloite,Challacolloite,KPb2+2Cl5,KPb2Cl5,K Pb Cl,IMA2004-028,5284,Chile,Approved, ,monoclinic,K Pb^2+ Cl,
Chambersite,Chambersite,Mn2+3B7O13Cl,Mn3B7O13Cl,Mn B O Cl,,1403,USA,Approved,Boracite,orthorhombic,Mn^2+ B O Cl,
Chaméanite,Chameanite,"(Cu,Fe)4As(Se,S)4","(Cu,Fe)4As(Se,S)4",Cu Fe As Se S,IMA1980-088,1404,France,Approved, ,cubic,Cu Fe As Se S,
Chamosite,Chamosite,Fe2+5Al(AlSi3)O10(OH)8,"(Fe2+,Mg,Al,Fe3+)6(Si,Al)4O10(OH,O)8",Fe Mg Al Si O H,,1405,Switzerland,Grandfathered|Approved,Clay,triclinic|monoclinic,Fe^2+ Al Si O H,
Chanabayaite,Chanabayaite,"Cu2Cl(N3C2H2)2(NH3,Cl,H2O,[box])4","Cu2Cl(N3C2H2)2(NH3,Cl,H2O,[box])4",Cu Cl N C H O,IMA2013-065,6225,Chile,Approved, ,orthorhombic,Cu Cl N C H O,
Changbaiite,Changbaiite,Pb2+Nb5+2O6,PbNb2O6,Pb Nb O,,1406,China,Approved, ,hexagonal,Pb^2+ Nb^5+ O,
Changchengite,Changchengite,IrBiS,IrBiS,Ir Bi S,IMA1995-047,1407,China,Approved,Ullmannite,cubic,Ir Bi S,
Changoite,Changoite,Na2Zn2+(S6+O4)2·4H2O,Na2Zn(SO4)2·4H2O,Na Zn S O H,IMA1997-041,1408,Chile,Approved,Blödite,monoclinic,Na Zn^2+ S^6+ O H,
Chantalite,Chantalite,CaAl2SiO4(OH)4,CaAl2(SiO4)(OH)4,Ca Al Si O H,IMA1977-001,1409,Turkey,Approved, ,tetragonal,Ca Al Si O H,
Chaoite,Chaoite,C,C,C,IMA1968-019,1410,Germany,Approved, ,hexagonal,C,
Chapmanite,Chapmanite,Fe3+2Sb3+(SiO4)2(OH),Fe3+2Sb3+(SiO4)2(OH),Fe Sb Si O H,,1411,Canada,Approved, ,monoclinic|unknown,Fe^3+ Sb^3+ Si O H,
Charleshatchettite,Charleshatchettite,CaNb5+4O10(OH)2·8H2O,CaNb4O10(OH)2·8H2O,Ca Nb O H,IMA2015-048,6460,Canada,Approved, ,monoclinic,Ca Nb^5+ O H,
Charlesite,Charlesite,"Ca6Al2(S6+O4)2B(OH)4(OH,O)12·26H2O","Ca6Al2(SO4)2B(OH)4(OH,O)12·26H2O",Ca Al S O B H,IMA1981-043,1412,USA,Approved,Ettringite,hexagonal,Ca Al S^6+ O B H,
Charmarite,Charmarite,Mn2+4Al2(OH)12CO3·3H2O,Mn4Al2(OH)12(CO3)·3H2O,Mn Al O H C,IMA1992-026,1413,Canada,Approved,Hydrotalcite,hexagonal,Mn^2+ Al O H C,
Charoite,Charoite,"(K,Sr,Ba,Mn2+)15-16(Ca,Na)32Si70(O,OH)180(OH,F)4·nH2O","(K,Sr,Ba,Mn)15-16(Ca,Na)32[Si70(O,OH)180](OH,F)4·nH2O",K Sr Ba Mn Ca Na Si O H F,IMA1977-019,1415,Russia,Approved, ,monoclinic|orthorhombic,K Sr Ba Mn^2+ Ca Na Si O H F,
Chatkalite,Chatkalite,Cu1+6Fe2+Sn4+2S2-8,Cu6FeSn2S8,Cu Fe Sn S,IMA1981-004,1416,Uzbekistan,Approved, ,tetragonal,Cu^1+ Fe^2+ Sn^4+ S^2-,
Chayesite,Chayesite,KMg4Fe3+[Si12O30],KMg4Fe3+[Si12O30],K Mg Fe Si O,IMA1987-059,1417,USA,Approved,Milarite,hexagonal,K Mg Fe^3+ Si O,
Chegemite,Chegemite,Ca7(SiO4)3(OH)2,Ca7(SiO4)3(OH)2,Ca Si O H,IMA2008-038,5698,Russia,Approved,Humite,orthorhombic,Ca Si O H,
Chekhovichite,Chekhovichite,Bi3+2Te4+4O11,Bi3+2Te4+4O11,Bi Te O,IMA1986-039,1418,Armenia / Kazakhstan,Approved, ,monoclinic,Bi^3+ Te^4+ O,
Chelkarite,Chelkarite,CaMgB2O4Cl2·7H2O,CaMgB2O4Cl2·7H2O (?),Ca Mg B O Cl H,,5079,Kazakhstan,Approved, ,orthorhombic,Ca Mg B O Cl H,
Chenevixite,Chenevixite,Cu2+Fe3+(As5+O4)(OH)2,CuFe3+(AsO4)(OH)2,Cu Fe As O H,,1419,United Kingdom,Grandfathered|Approved,Chenevixite,monoclinic,Cu^2+ Fe^3+ As^5+ O H,
Chengdeite,Chengdeite,Ir3Fe,Ir3Fe,Ir Fe,IMA1994-023,1420,China,Approved,Auricupride,cubic,Ir Fe,
Chenguodaite,Chenguodaite,Ag9FeTe2S4,Ag9FeTe2S4,Ag Fe Te S,IMA2004-042a,5606,China,Approved, ,orthorhombic,Ag Fe Te S,
Chenite,Chenite,Cu2+Pb2+4(S6+O4)2(OH)6,CuPb4(SO4)2(OH)6,Cu Pb S O H,IMA1983-069,1421,United Kingdom,Approved, ,triclinic,Cu^2+ Pb^2+ S^6+ O H,
Chenmingite,Chenmingite,Fe2+Cr3+2O4,FeCr2O4,Fe Cr O,IMA2017-036,6673,Morocco (meteorite),Approved, ,orthorhombic,Fe^2+ Cr^3+ O,
Cheralite,Cheralite,CaTh4+(PO4)2,CaTh(PO4)2,Ca Th P O,IMA2005-F,1422,India,Approved|Redefined,Monazite,monoclinic,Ca Th^4+ P O,
Cheremnykhite,Cheremnykhite,Pb2+3Zn2+3Te6+O6(V5+O4)2,Pb3Zn3(TeO6)(VO4)2,Pb Zn Te O V,IMA1989-017,1423,Russia,Approved, ,orthorhombic,Pb^2+ Zn^2+ Te^6+ O V^5+,
Cherepanovite,Cherepanovite,RhAs,RhAs,Rh As,IMA1984-041,1424,Russia,Approved,Modderite,orthorhombic,Rh As,
Chernikovite,Chernikovite,(H3O)(U6+O2)(PO4)·3H2O,(H3O)(UO2)(PO4)·3H2O,H O U P,IMA1985-M,1425,Tajikistan,Approved,Natroautunite,tetragonal,H O U^6+ P,
Chernovite-(Y),Chernovite-(Y),YAs5+O4,Y(AsO4),Y As O,"IMA1967-027, IMA1987 s.p.",1426,Russia,Approved|Renamed,Zircon,tetragonal,Y As^5+ O,
Chernykhite,Chernykhite,BaV3+2(Si2Al2)O10(OH)2,BaV2(Si2Al2)O10(OH)2,Ba V Si Al O H,IMA1972-006,1427,Kazakhstan,Approved,Clay,monoclinic,Ba V^3+ Si Al O H,
Chervetite,Chervetite,Pb2+2V5+2O7,Pb2V5+2O7,Pb V O,,1428,Gabon,Approved, ,monoclinic,Pb^2+ V^5+ O,
Chesnokovite,Chesnokovite,Na2SiO2(OH)2·8H2O,Na2SiO2(OH)2·8H2O,Na Si O H,IMA2006-007,5358,Russia,Approved, ,orthorhombic,Na Si O H,
Chessexite,Chessexite,Na4Ca2Mg3Al8(SiO4)2(S6+O4)10(OH)10·40H2O,Na4Ca2Mg3Al8(SiO4)2(SO4)10(OH)10·40H2O,Na Ca Mg Al Si O S H,IMA1981-054,1429,France,Approved, ,orthorhombic,Na Ca Mg Al Si O S^6+ H,
Chesterite,Chesterite,Mg17Si20O54(OH)6,Mg17Si20O54(OH)6,Mg Si O H,IMA1977-010,1430,USA,Approved, ,orthorhombic,Mg Si O H,
Chestermanite,Chestermanite,"Mg2(Fe3+,Mg,Al,Sb5+)O2BO3","Mg2(Fe3+,Mg,Al,Sb5+)O2(BO3)",Mg Fe Al Sb O B,IMA1986-058,1431,USA,Approved, ,orthorhombic,Mg Fe^3+ Al Sb^5+ O B,
Chevkinite-(Ce),Chevkinite-(Ce),"Ce3+4(Ti4+,Fe2+,Fe3+)5O8(Si2O7)2","Ce4(Ti,Fe2+,Fe3+)5O8(Si2O7)2",Ce Ti Fe O Si,IMA1987 s.p.,1432,Russia,Approved|Renamed,Chevkinite,monoclinic,Ce^3+ Ti^4+ Fe^2+ Fe^3+ O Si,
Chiappinoite-(Y),Chiappinoite-(Y),Y3+2Mn2+(Si3O7)4,Y2Mn(Si3O7)4,Y Mn Si O,IMA2014-040,6335,Portugal,Approved, ,orthorhombic,Y^3+ Mn^2+ Si O,
Chiavennite,Chiavennite,CaMn2+(BeOH)2Si5O13·2H2O,CaMn2+(BeOH)2Si5O13·2H2O,Ca Mn Be O H Si,IMA1981-038,1433,Italy,Approved, ,orthorhombic,Ca Mn^2+ Be O H Si,
Chibaite,Chibaite,"SiO2·n(CH4,C2H6,C3H8,C4H10); (nmax = 3/17)","SiO2·n(CH4,C2H6,C3H8,C4H10) (nmax = 3/17)",Si O C H,IMA2008-067,5728,Japan,Approved, ,"cubic|triclinic, tetragonal",Si O C H,
Chihuahuaite,Chihuahuaite,Fe2+Al12O19,FeAl12O19,Fe Al O,"IMA2009-027, IMA2020 s.p.",5754,Mexico (meteorite),Approved|Renamed,Plumboferrite,hexagonal,Fe^2+ Al O,
Childrenite,Childrenite,Fe2+AlPO4(OH)2·H2O,Fe2+Al(PO4)(OH)2·H2O,Fe Al P O H,,1434,United Kingdom,Grandfathered|Approved,Childrenite,orthorhombic,Fe^2+ Al P O H,
Chiluite,Chiluite,Bi3+3Te6+Mo6+O10.5,Bi3Te6+Mo6+O10.5,Bi Te Mo O,IMA1988-001,1435,China,Approved, ,hexagonal,Bi^3+ Te^6+ Mo^6+ O,
Chinchorroite,Chinchorroite,Na2Mg5(As5+2O7)2(As5+O3OH)2(H2O)10,Na2Mg5(As2O7)2(AsO3OH)2(H2O)10,Na Mg As O H,IMA2017-106,6732,Chile,Approved, ,triclinic,Na Mg As^5+ O H,
Chinleite-(Y),Chinleite-(Y),NaY3+(S6+O4)2·H2O,NaY(SO4)2·H2O,Na Y S O H,IMA2016-017,6545,USA,Approved,Rhabdophane,hexagonal,Na Y^3+ S^6+ O H,
Chiolite,Chiolite,Na5Al3F14,Na5Al3F14,Na Al F,,1436,Russia,Grandfathered|Approved, ,tetragonal,Na Al F,
Chirvinskyite,Chirvinskyite,(Na8Ca5)Fe2+2Ti4+2Zr4+3(Si2O7)4O6(OH)6,"(Na,Ca)13(Fe,Mn,[box])2Ti2(Zr,Ti)3(Si2O7)4(OH,O,F)12",Na Ca Fe Mn Ti Zr Si O H F,IMA2016-051,6579,Russia,Approved, ,triclinic,Na Ca Fe^2+ Ti^4+ Zr^4+ Si O H,
Chistyakovaite,Chistyakovaite,Al(U6+O2)2(As5+O4)2F·6.5H2O,Al(UO2)2(AsO4)2F·6.5H2O,Al U O As F H,IMA2005-003,5213,Kazakhstan,Approved, ,monoclinic,Al U^6+ O As^5+ F H,
Chivruaiite,Chivruaiite,"Ca4(Ti4+,Nb5+)5(Si6O17)2(OH,O)5·13-14H2O","Ca4(Ti,Nb)5(Si6O17)2(OH,O)5·13-14H2O",Ca Ti Nb Si O H,IMA2004-052,5301,Russia,Approved, ,orthorhombic,Ca Ti^4+ Nb^5+ Si O H,
Chiyokoite,Chiyokoite,Ca3Si(CO3)[B(OH)4]0.5(AsO3)0.5(OH)6·12H2O,Ca3Si(CO3){[B(OH)4]0.5(AsO3)0.5}(OH)6·12H2O,Ca Si C O B H As,IMA2019-054,6958,Japan,Pending publication|Approved,Ettringite,hexagonal,Ca Si C O B H As,
